,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score
0,1,floor felt cavernous,architecture,0.2471,0.2781,0.3661,0.3143
1,2,sofa subterranean,furniture,0.3309,0.2495,0.3377,0.314
2,3,cavernous quiet nave,spatial,0.337,0.2259,0.3462,0.3138
3,4,chaotic floor interstitial,quality,0.2835,0.2325,0.3637,0.3108
4,5,zinc balcony,material,0.3293,0.2225,0.3416,0.3088
5,6,portal cavernous,architecture,0.2891,0.2368,0.3184,0.2907
6,7,subterranean arcade prospect-view,spatial,0.2966,0.1478,0.3387,0.2804
7,8,velvet bathtub arcade,material,0.348,0.1349,0.3045,0.273
8,9,muted green pavilion,color,0.2933,0.1827,0.3052,0.2716
9,10,emerald curtain,color,0.2931,0.1861,0.2978,0.2687
10,11,zenithal pavilion,lighting,0.3948,0.0954,0.2842,0.2646
11,12,wardrobe light,furniture,0.2342,0.2211,0.3013,0.2644
12,13,sage desk,color,0.3194,0.2001,0.2685,0.2641
13,14,chaotic cabinet,quality,0.2385,0.249,0.2816,0.2627
14,15,beige portico,color,0.3194,0.1836,0.2692,0.2603
15,16,vault tall,architecture,0.2909,0.2028,0.2735,0.2602
16,17,emerald soffit,color,0.277,0.2164,0.2649,0.2558
17,18,concrete vault,material,0.3134,0.1621,0.2721,0.2549
18,19,monumental bathtub floor,quality,0.3243,0.1165,0.2871,0.2538
19,20,expansive noisy ceiling,spatial,0.2207,0.2192,0.2862,0.2531
20,21,linen formal,material,0.3269,0.1664,0.2546,0.2506
21,22,warm white mirror formal,color,0.272,0.2013,0.2572,0.2469
22,23,monumental bed standing lamp,quality,0.2537,0.1624,0.2762,0.2421
23,24,kinetic shadow subterranean aisle,lighting,0.2281,0.168,0.2861,0.2421
24,25,muted door,quality,0.2149,0.1899,0.2726,0.2375
25,26,chair ochre,furniture,0.3015,0.1622,0.2412,0.2365
26,27,dining table retreat,furniture,0.3565,0.0883,0.25,0.2362
27,28,whiteboard alcove floor,technology,0.2988,0.0861,0.276,0.2342
28,29,balustrade labyrinthine,architecture,0.1822,0.2322,0.2577,0.2324
29,30,overlapping floor pavilion,relation,0.309,0.0781,0.2709,0.2322
